timestamp,chair_count,description
2025-08-02T16:37:56.288202,2,1 dark-colored office chair and 1 dark-colored chair behind the person.
2025-08-02T16:37:58.021088,2,1 office chair and 1 armchair
2025-08-02T16:38:01.162052,2,1 office chair and 1 armchair
2025-08-02T16:38:04.458326,2,1 dark blue office chair and 1 black office chair
2025-08-02T16:38:07.012851,2,1 office chair and 1 armchair
2025-08-02T16:38:09.890527,3,2 office chairs and 1 partially visible chair
2025-08-02T16:38:13.160736,2,2 office chairs
2025-08-02T16:38:16.250442,4,3 office chairs and 1 partially visible chair
2025-08-02T16:38:19.672954,4,4 office chairs
2025-08-02T16:38:22.324059,4,4 office chairs
2025-08-02T16:38:25.318690,3,2 office chairs and 1 armchair
2025-08-02T16:38:29.758044,3,2 office chairs and 1 partially visible chair
2025-08-02T16:53:42.048127,2,"Two chairs are visible in the image. One is behind the person in the blue shirt, and the other is partially visible behind the person in the striped shirt."
2025-08-02T16:53:46.336260,1,1 black office chair
2025-08-02T16:53:51.400448,1,1 black office chair
2025-08-02T16:53:56.550915,2,One office chair and one partially visible chair
2025-08-02T16:54:01.250470,3,3 office chairs
2025-08-02T16:54:06.465220,1,1 office chair
